,topic,termIndices,termWeights,Terms
0,0,"[2, 1, 3, 6, 0]","[0.005050350748568013, 0.004819293974663548, 0.004781267539653688, 0.0045456903249202355, 0.004324337083528464]","['of', 'to', 'and', 'a', 'the']"
1,1,"[2, 1, 6, 3, 4]","[0.005080065996166942, 0.004855577718464162, 0.004670768377479366, 0.004655060750559819, 0.00425070125612336]","['of', 'to', 'a', 'and', 'in']"
2,2,"[2, 1, 6, 3, 0]","[0.005137667828563857, 0.004888743754338072, 0.004695238615434184, 0.004658803387220464, 0.0043383017682608]","['of', 'to', 'a', 'and', 'the']"
3,3,"[2, 1, 6, 3, 7]","[0.005045873210689697, 0.00483644965884399, 0.004698711420861244, 0.004540414663353772, 0.004358715824180463]","['of', 'to', 'a', 'and', 'is']"
4,4,"[2, 1, 3, 6, 4]","[0.004986339586822838, 0.004845599610039183, 0.00468308180107531, 0.004534223697152925, 0.00424859770145795]","['of', 'to', 'and', 'a', 'in']"
5,5,"[2, 1, 3, 6, 0]","[0.005008537785539282, 0.004749070703771813, 0.004599850991694678, 0.004597868831307502, 0.004295040683937757]","['of', 'to', 'and', 'a', 'the']"
6,6,"[2, 1, 6, 3, 4]","[0.005018432962414976, 0.004803278814779847, 0.004630731192738262, 0.004576476485430544, 0.004371179090689473]","['of', 'to', 'a', 'and', 'in']"
7,7,"[2, 1, 3, 6, 0]","[0.005066567891411872, 0.004865371579010213, 0.004711382762304629, 0.004621418588666557, 0.00431212263234281]","['of', 'to', 'and', 'a', 'the']"
8,8,"[2, 1, 6, 3, 4]","[0.005082401652213786, 0.00491532978687146, 0.0046839666038853015, 0.0046212556955168875, 0.004354459392811115]","['of', 'to', 'a', 'and', 'in']"
9,9,"[2, 1, 3, 6, 4]","[0.005052748910314147, 0.004811680275482173, 0.00471596185790846, 0.004691010013113006, 0.004320960475127112]","['of', 'to', 'and', 'a', 'in']"
